Date,Price
6/24/2022,3.428
6/23/2022,3.418
6/22/2022,3.421
6/21/2022,3.426
6/20/2022,3.439
6/17/2022,3.432
6/16/2022,3.445
6/15/2022,3.451
6/14/2022,3.392
6/13/2022,3.317
6/10/2022,3.273
6/9/2022,3.283
6/8/2022,3.267
6/7/2022,3.268
6/6/2022,3.263
6/3/2022,3.267
6/2/2022,3.263
6/1/2022,3.262
5/31/2022,3.249
5/30/2022,3.251
5/27/2022,3.247
5/26/2022,3.249
5/25/2022,3.23
5/24/2022,3.243
5/23/2022,3.267
5/20/2022,3.249
5/19/2022,3.279
5/18/2022,3.332
5/17/2022,3.342
5/16/2022,3.343
5/13/2022,3.415
5/12/2022,3.388
5/11/2022,3.302
5/10/2022,3.235
5/9/2022,3.239
5/6/2022,3.191
5/5/2022,3.159
5/4/2022,3.137
5/3/2022,3.053
5/2/2022,3.053
4/29/2022,3.103
4/28/2022,3.127
4/27/2022,3.128
4/26/2022,3.123
4/25/2022,3.163
4/22/2022,3.183
4/21/2022,3.181
4/20/2022,3.192
4/19/2022,3.167
4/18/2022,3.171
4/15/2022,3.165
4/14/2022,3.112
4/13/2022,3.134
4/12/2022,3.149
4/11/2022,2.823
4/8/2022,2.873
4/7/2022,2.802
4/6/2022,2.841
4/5/2022,2.538
4/4/2022,2.507
4/1/2022,2.501
3/31/2022,2.479
3/30/2022,2.498
3/29/2022,2.502
3/28/2022,2.519
3/25/2022,2.493
3/24/2022,2.511
3/23/2022,2.525
3/22/2022,2.538
3/21/2022,2.506
3/18/2022,2.432
3/17/2022,2.428
3/16/2022,2.416
3/15/2022,2.394
3/14/2022,2.372
3/11/2022,2.366
3/10/2022,2.353
3/9/2022,2.399
3/8/2022,2.373
3/7/2022,2.385
3/4/2022,2.345
3/3/2022,2.415
3/2/2022,2.355
3/1/2022,2.355
2/28/2022,2.34
2/25/2022,2.284
2/24/2022,2.289
2/23/2022,2.296
2/22/2022,2.285
2/21/2022,2.294
2/18/2022,2.307
2/17/2022,2.348
2/16/2022,2.261
2/15/2022,2.222
2/14/2022,2.191
2/11/2022,2.192
2/10/2022,2.18
2/9/2022,2.19
2/8/2022,2.146
2/7/2022,2.157
2/4/2022,2.113
2/3/2022,2.113
2/2/2022,2.113
2/1/2022,2.113
1/31/2022,2.113
1/28/2022,2.163
1/27/2022,2.159
1/26/2022,2.136
1/25/2022,2.155
1/24/2022,2.139
1/21/2022,2.137
1/20/2022,2.144
1/19/2022,2.135
1/18/2022,2.125
1/17/2022,2.141
1/14/2022,2.14
1/13/2022,2.151
1/12/2022,2.142
1/11/2022,2.165
1/10/2022,2.146
1/7/2022,2.176
1/6/2022,2.15
1/5/2022,2.148
1/4/2022,2.179
1/3/2022,2.05
12/31/2021,2.1
12/30/2021,2.123
12/29/2021,2.13
12/28/2021,2.13
12/27/2021,2.093
12/24/2021,2.089
12/23/2021,2.098
12/22/2021,2.112
12/21/2021,2.079
12/20/2021,2.07
12/17/2021,2.092
12/16/2021,2.078
12/15/2021,2.038
12/14/2021,2.058
12/13/2021,2.057
12/10/2021,2.076
12/9/2021,2.077
12/8/2021,2.088
12/7/2021,2.072
12/6/2021,2.09
12/3/2021,2.093
12/2/2021,2.076
12/1/2021,2.096
11/30/2021,2.082
11/29/2021,2.065
11/26/2021,2.068
11/25/2021,2.076
11/24/2021,2.082
11/23/2021,2.056
11/22/2021,2.062
11/19/2021,2.049
11/18/2021,2.065
11/17/2021,2.057
11/16/2021,2.056
11/15/2021,2.075
11/12/2021,2.092
11/11/2021,2.096
11/10/2021,2.107
11/9/2021,2.107
11/8/2021,2.099
11/5/2021,2.134
11/4/2021,2.136
11/3/2021,2.158
11/2/2021,2.153
11/1/2021,2.159
10/29/2021,2.116
10/28/2021,2.114
10/27/2021,2.128
10/26/2021,2.114
10/25/2021,2.108
10/22/2021,2.114
10/21/2021,2.131
10/20/2021,2.14
10/19/2021,2.13
10/18/2021,2.125
10/15/2021,2.123
10/14/2021,2.129
10/13/2021,2.134
10/12/2021,2.134
10/11/2021,2.135
10/8/2021,2.132
10/7/2021,2.12
10/6/2021,2.11
10/5/2021,2.114
10/4/2021,2.125
10/3/2021,2.071
10/1/2021,2.121
9/30/2021,2.132
9/29/2021,2.145
9/28/2021,2.11
9/27/2021,2.143
9/24/2021,2.118
9/23/2021,2.119
9/22/2021,2.114
9/21/2021,2.088
9/20/2021,2.087
9/17/2021,2.071
9/16/2021,2.054
9/15/2021,2.043
9/14/2021,2.093
9/13/2021,2.051
9/10/2021,2.077
9/9/2021,2.059
9/8/2021,2.059
9/7/2021,2.082
9/6/2021,2.111
